City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Goderich,CA,82.0,clear sky,43.75,-81.72,Harmony Inn
14,San Quintin,MX,80.24,clear sky,30.48,-115.95,Old Mill Hotel
17,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
27,San Juan De Opoa,HN,83.34,moderate rain,14.78,-88.7,AquaPark y Club Campestre El Yate
29,Butaritari,KI,82.27,overcast clouds,3.07,172.79,Isles Sunset Lodge
32,Faanui,PF,77.04,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,Bethel,US,88.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
36,Kifri,IQ,88.97,clear sky,34.7,44.97,میزان کفری
41,Atuona,PF,78.8,light rain,-9.8,-139.03,Villa Enata
47,Camacha,PT,77.0,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
50,Auki,SB,78.06,overcast clouds,-8.77,160.7,Auki Motel
58,Los Llanos De Aridane,ES,84.0,clear sky,28.66,-17.92,Valle Aridane
62,Hithadhoo,MV,83.68,clear sky,-0.6,73.08,Scoop Guest House
64,Sinnamary,GF,86.72,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
66,Bandarbeyla,SO,77.23,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
67,Axim,GH,78.06,few clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
69,Palmer,US,88.0,broken clouds,42.16,-72.33,Wedgewood Motel
75,Naze,JP,80.6,overcast clouds,28.37,129.48,奄美ポートタワーホテル
84,Samarai,PG,75.36,overcast clouds,-10.62,150.67,Nuli Sapi
85,Kahului,US,78.8,light rain,20.89,-156.47,Maui Seaside Hotel
88,Hasaki,JP,77.0,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
93,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
94,Cabo San Lucas,MX,89.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
98,Okmulgee,US,84.2,clear sky,35.62,-95.96,Holiday Inn Express & Suites Okmulgee
100,Liku,ID,76.17,broken clouds,-0.73,119.89,Agoes Liverpool
101,Vila,PT,77.0,broken clouds,42.03,-8.16,Hotel Castrum Villae
