,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Cristobal,VE,7.77,-72.22,91.4,43,20,19.46,few clouds
1,Krasnotorka,UA,48.68,37.53,63.57,54,51,5.79,broken clouds
2,Adrar,MR,20.5,-10.07,111.15,7,22,17.29,few clouds
3,Ushuaia,AR,-54.8,-68.3,41.0,80,75,4.7,shower rain
4,Coquimbo,CL,-29.95,-71.34,51.8,81,90,4.7,overcast clouds
5,Nikolskoye,RU,59.7,30.79,70.0,56,20,6.71,few clouds
6,Puerto Ayora,EC,-0.74,-90.35,71.6,73,40,12.75,scattered clouds
7,Castro,BR,-24.79,-50.01,51.62,70,71,9.75,broken clouds
8,Sitka,US,57.05,-135.33,53.6,100,90,3.36,mist
9,Goderich,CA,43.75,-81.72,82.0,80,1,5.01,clear sky
10,Souillac,MU,-20.52,57.52,71.6,78,40,12.75,shower rain
11,Bluff,NZ,-46.6,168.33,41.0,97,57,8.75,broken clouds
12,Busselton,AU,-33.65,115.33,53.01,82,80,10.74,broken clouds
13,Rikitea,PF,-23.12,-134.97,66.63,70,100,19.55,overcast clouds
14,San Quintin,MX,30.48,-115.95,80.24,63,0,10.47,clear sky
15,Gravdal,NO,68.12,13.5,56.71,95,100,12.12,light rain
16,Carnarvon,AU,-24.87,113.63,68.0,72,85,10.29,overcast clouds
17,Bathsheba,BB,13.22,-59.52,87.8,74,20,14.99,few clouds
18,Mar Del Plata,AR,-38.0,-57.56,60.8,48,0,14.99,clear sky
19,Punta Arenas,CL,-53.15,-70.92,44.6,70,40,14.99,scattered clouds
20,Tuatapere,NZ,-46.13,167.68,41.0,97,88,2.82,overcast clouds
21,Cherskiy,RU,68.75,161.3,38.46,92,100,19.77,overcast clouds
22,Half Moon Bay,US,37.46,-122.43,70.0,93,90,6.93,mist
23,Kodiak,US,57.79,-152.41,59.02,72,100,3.51,overcast clouds
24,Chuy,UY,-33.7,-53.46,59.38,43,0,3.06,clear sky
25,Bredasdorp,ZA,-34.53,20.04,60.8,77,0,9.17,clear sky
26,Tasiilaq,GL,65.61,-37.64,51.8,57,20,10.29,few clouds
27,San Juan De Opoa,HN,14.78,-88.7,83.34,65,27,0.98,moderate rain
28,Port Alfred,ZA,-33.59,26.89,62.8,59,0,2.37,clear sky
29,Butaritari,KI,3.07,172.79,82.27,67,98,6.33,overcast clouds
30,Luderitz,NA,-26.65,15.16,69.01,24,0,8.28,clear sky
31,Flinders,AU,-34.58,150.86,50.0,64,45,10.0,scattered clouds
32,Faanui,PF,-16.48,-151.75,77.04,80,24,25.37,light rain
33,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,71.6,88,75,8.05,broken clouds
34,Pangnirtung,CA,66.15,-65.71,50.0,81,20,8.05,few clouds
35,Bethel,US,41.37,-73.41,88.0,48,1,3.36,clear sky
36,Kifri,IQ,34.7,44.97,88.97,16,0,9.89,clear sky
37,Hilo,US,19.73,-155.09,73.4,88,90,6.93,overcast clouds
38,Ahipara,NZ,-35.17,173.17,54.25,92,8,5.5,clear sky
39,Tura,IN,25.52,90.22,74.68,96,31,7.16,scattered clouds
40,Saint George,US,37.1,-113.58,91.99,32,1,3.36,clear sky
41,Atuona,PF,-9.8,-139.03,78.8,76,6,19.95,light rain
42,Saskylakh,RU,71.92,114.08,37.06,81,6,5.23,clear sky
43,Kruisfontein,ZA,-34.0,24.73,62.01,63,0,3.0,clear sky
44,Hermanus,ZA,-34.42,19.23,59.0,87,0,1.01,clear sky
45,Meleuz,RU,52.97,55.92,53.26,90,0,4.85,clear sky
46,Abu Samrah,SY,35.3,37.18,80.42,45,0,17.34,clear sky
47,Camacha,PT,33.08,-16.33,77.0,65,40,14.99,scattered clouds
48,Te Anau,NZ,-45.42,167.72,39.96,89,100,0.78,overcast clouds
49,Mbandaka,CD,0.05,18.26,71.6,96,100,2.93,overcast clouds
50,Auki,SB,-8.77,160.7,78.06,86,100,6.46,overcast clouds
51,Nome,US,64.5,-165.41,51.8,87,90,9.17,overcast clouds
52,Bijar,IR,35.87,47.61,67.95,25,0,13.87,clear sky
53,Zabaykalsk,RU,49.63,117.32,61.05,74,100,0.74,overcast clouds
54,Mataura,NZ,-46.19,168.86,41.0,97,84,1.63,broken clouds
55,Thompson,CA,55.74,-97.86,46.4,93,90,9.17,light intensity shower rain
56,Upernavik,GL,72.79,-56.15,43.75,73,91,9.82,overcast clouds
57,Iki-Burul,RU,45.82,44.65,75.2,19,65,17.9,broken clouds
58,Los Llanos De Aridane,ES,28.66,-17.92,84.0,74,1,16.11,clear sky
59,Huarmey,PE,-10.07,-78.15,68.16,61,7,11.65,clear sky
60,Arraial Do Cabo,BR,-22.97,-42.03,66.2,77,90,6.93,overcast clouds
61,Avarua,CK,-21.21,-159.78,71.6,78,21,3.36,few clouds
62,Hithadhoo,MV,-0.6,73.08,83.68,78,0,14.18,clear sky
63,Shimoda,JP,34.67,138.95,72.0,92,94,2.84,light rain
64,Sinnamary,GF,5.38,-52.95,86.72,60,5,9.06,clear sky
65,Cape Town,ZA,-33.93,18.42,61.0,77,0,13.87,clear sky
66,Bandarbeyla,SO,9.49,50.81,77.23,76,99,34.11,overcast clouds
67,Axim,GH,4.87,-2.24,78.06,80,19,12.01,few clouds
68,Geraldton,AU,-28.77,114.6,59.0,87,90,5.82,overcast clouds
69,Palmer,US,42.16,-72.33,88.0,51,75,5.82,broken clouds
70,Albany,US,42.6,-73.97,84.0,66,0,6.76,clear sky
71,Watsa,CD,3.04,29.54,68.32,96,66,0.56,light rain
72,Sobolevo,RU,54.43,31.9,59.94,81,50,4.38,scattered clouds
73,Provideniya,RU,64.38,-173.3,48.72,95,100,6.08,light rain
74,Deputatskiy,RU,69.3,139.9,26.65,99,78,1.88,broken clouds
75,Naze,JP,28.37,129.48,80.6,94,100,2.24,overcast clouds
76,Koppies,ZA,-27.24,27.57,56.73,36,0,5.61,clear sky
77,Lasa,IT,46.62,10.7,64.0,100,75,6.93,broken clouds
78,Port Lincoln,AU,-34.73,135.87,50.31,73,54,12.08,light rain
79,Beringovskiy,RU,63.05,179.32,50.86,91,82,11.34,broken clouds
80,Altay,CN,47.87,88.12,58.73,38,50,4.59,scattered clouds
81,Vaini,TO,-21.2,-175.2,73.4,100,40,5.82,scattered clouds
82,Yar-Sale,RU,66.83,70.83,51.62,89,0,8.43,clear sky
83,Abancay,PE,-13.63,-72.88,67.24,41,84,5.93,broken clouds
84,Samarai,PG,-10.62,150.67,75.36,78,100,12.1,overcast clouds
85,Kahului,US,20.89,-156.47,78.8,74,40,11.41,light rain
86,Bonavista,CA,48.65,-53.11,68.0,70,0,1.99,clear sky
87,Koslan,RU,63.46,48.9,59.02,93,5,4.12,clear sky
88,Hasaki,JP,35.73,140.83,77.0,94,75,5.82,light intensity shower rain
89,Saint-Philippe,RE,-21.36,55.77,69.8,64,30,11.41,scattered clouds
90,Le Port,RE,-20.94,55.29,69.8,68,34,11.41,scattered clouds
91,Sibiti,CG,-3.68,13.35,73.8,73,100,4.52,overcast clouds
92,Bambous Virieux,MU,-20.34,57.76,71.6,78,40,12.75,shower rain
93,Vila Franca Do Campo,PT,37.72,-25.43,77.0,78,20,6.93,few clouds
94,Cabo San Lucas,MX,22.89,-109.91,89.6,62,20,3.36,few clouds
95,Alofi,NU,-19.06,-169.92,73.4,100,31,4.7,scattered clouds
96,Hadsund,DK,56.71,10.12,64.99,84,37,4.0,scattered clouds
97,Khorramabad,IR,33.49,48.36,91.4,10,0,9.17,clear sky
98,Okmulgee,US,35.62,-95.96,84.2,54,1,4.32,clear sky
99,Barrow,US,71.29,-156.79,39.2,93,90,19.46,fog
100,Liku,ID,-0.73,119.89,76.17,78,56,4.56,broken clouds
