City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,2020-08-19 01:33:50,-8.93,125.41,75.65,32,3,4.18
1,Hwange,ZW,2020-08-19 01:33:50,-18.37,26.5,59.72,27,0,8.34
2,Hinton,CA,2020-08-19 01:33:50,53.4,-117.59,73.56,30,87,7.65
3,Rikitea,PF,2020-08-19 01:33:29,-23.12,-134.97,71.85,81,38,8.19
4,Bluff,NZ,2020-08-19 01:33:50,-46.6,168.33,55.99,80,87,7.0
5,Ushuaia,AR,2020-08-19 01:33:30,-54.8,-68.3,32.0,90,40,13.87
6,Surgut,RU,2020-08-19 01:33:50,61.25,73.42,57.2,100,40,4.47
7,Saint Pete Beach,US,2020-08-19 01:30:39,27.73,-82.74,84.99,74,1,3.36
8,Kaitangata,NZ,2020-08-19 01:33:50,-46.28,169.85,55.99,69,100,5.99
9,Port Lincoln,AU,2020-08-19 01:33:50,-34.73,135.87,57.0,66,2,24.99
10,Gizo,SB,2020-08-19 01:33:50,-8.1,156.84,82.72,76,98,5.35
11,Hilo,US,2020-08-19 01:33:50,19.73,-155.09,82.4,61,90,4.7
12,Lavrentiya,RU,2020-08-19 01:33:51,65.58,-171.0,53.47,69,92,6.89
13,Muros,ES,2020-08-19 01:33:51,42.78,-9.06,68.0,92,100,15.01
14,Khatanga,RU,2020-08-19 01:29:29,71.97,102.5,52.12,59,0,15.99
15,Faya,SA,2020-08-19 01:33:51,18.39,42.45,71.6,64,20,2.3
16,Bredasdorp,ZA,2020-08-19 01:33:51,-34.53,20.04,44.6,87,91,4.7
17,Coahuayana,MX,2020-08-19 01:33:51,18.73,-103.68,77.7,86,100,1.45
18,Pangnirtung,CA,2020-08-19 01:33:51,66.15,-65.71,60.44,52,100,6.8
19,Hermanus,ZA,2020-08-19 01:33:51,-34.42,19.23,48.0,72,75,1.99
20,Bambous Virieux,MU,2020-08-19 01:33:51,-20.34,57.76,71.6,68,40,10.29
21,Tiksi,RU,2020-08-19 01:29:28,71.69,128.87,39.96,77,93,12.5
22,Verkhnevilyuysk,RU,2020-08-19 01:33:51,63.45,120.32,66.0,47,58,5.39
23,Yumen,CN,2020-08-19 01:33:51,40.28,97.2,78.48,17,0,17.87
24,Srbobran,RS,2020-08-19 01:33:52,45.55,19.8,66.0,73,100,4.83
25,Nikolskoye,RU,2020-08-19 01:33:52,59.7,30.79,51.01,81,0,4.47
26,Ilulissat,GL,2020-08-19 01:33:52,69.22,-51.1,48.2,49,95,6.78
27,Upernavik,GL,2020-08-19 01:33:52,72.79,-56.15,46.47,69,100,8.01
28,Abong Mbang,CM,2020-08-19 01:33:52,3.98,13.18,68.34,98,100,4.21
29,Srednekolymsk,RU,2020-08-19 01:33:52,67.45,153.68,56.1,46,98,4.74
30,Hebi,CN,2020-08-19 01:33:52,35.9,114.19,72.68,81,100,11.5
31,Port Moresby,PG,2020-08-19 01:33:53,-9.44,147.18,82.4,69,40,5.82
32,Moose Factory,CA,2020-08-19 01:33:53,51.26,-80.61,51.8,87,90,2.24
33,Tuktoyaktuk,CA,2020-08-19 01:33:53,69.45,-133.04,62.6,55,20,9.17
34,Busselton,AU,2020-08-19 01:33:53,-33.65,115.33,55.0,71,45,1.92
35,Saskylakh,RU,2020-08-19 01:33:53,71.92,114.08,45.68,67,100,9.28
36,Saint-Pierre,RE,2020-08-19 01:33:53,-21.34,55.48,62.6,77,75,3.36
37,Verkhoyansk,RU,2020-08-19 01:33:53,67.54,133.38,51.21,72,100,14.58
38,Puerto Ayora,EC,2020-08-19 01:33:30,-0.74,-90.35,66.99,94,86,5.01
39,Haines Junction,CA,2020-08-19 01:30:09,60.75,-137.51,59.34,62,37,2.19
40,Hobart,AU,2020-08-19 01:33:44,-42.88,147.33,54.0,58,40,8.05
41,Grand-Santi,GF,2020-08-19 01:33:53,4.25,-54.38,72.82,96,0,2.37
42,Cherskiy,RU,2020-08-19 01:33:53,68.75,161.3,44.49,87,100,7.02
43,Kavieng,PG,2020-08-19 01:33:53,-2.57,150.8,83.89,72,34,7.92
44,Carnarvon,AU,2020-08-19 01:33:30,-24.87,113.63,62.6,63,52,16.11
45,Bandarbeyla,SO,2020-08-19 01:33:54,9.49,50.81,77.5,74,85,25.95
46,Prince George,CA,2020-08-19 01:30:54,53.92,-122.75,64.99,82,75,4.7
47,Cape Town,ZA,2020-08-19 01:29:38,-33.93,18.42,50.0,81,75,2.24
48,Saldanha,ZA,2020-08-19 01:33:54,-33.01,17.94,42.8,81,33,3.36
49,Banjar,ID,2020-08-19 01:33:54,-8.19,114.97,80.6,94,40,13.87
50,Tuatapere,NZ,2020-08-19 01:33:54,-46.13,167.68,55.99,80,100,7.0
51,Uige,AO,2020-08-19 01:33:54,-7.61,15.06,64.71,89,89,2.62
52,Santa Rosa,PH,2020-08-19 01:33:54,14.31,121.11,84.99,83,92,1.79
53,Port Alfred,ZA,2020-08-19 01:33:54,-33.59,26.89,53.42,69,35,26.91
54,Jamestown,US,2020-08-19 01:31:04,42.1,-79.24,64.99,77,1,6.93
55,Mombetsu,JP,2020-08-19 01:33:54,44.35,143.35,82.4,65,20,4.7
56,Saint-Philippe,RE,2020-08-19 01:33:54,-21.36,55.77,62.6,77,75,3.36
57,Lalmohan,BD,2020-08-19 01:33:54,22.34,90.74,79.79,92,100,12.19
58,Berlevag,NO,2020-08-19 01:33:55,70.86,29.09,50.29,83,90,9.42
59,Kapaa,US,2020-08-19 01:33:55,22.08,-159.32,81.0,83,90,16.11
60,Alexandria,EG,2020-08-19 01:33:55,31.22,29.96,78.8,61,0,6.93
61,Kruisfontein,ZA,2020-08-19 01:31:24,-34.0,24.73,48.43,77,99,19.08
62,Torbay,CA,2020-08-19 01:33:55,47.67,-52.73,57.99,100,90,21.92
63,Ponta Do Sol,PT,2020-08-19 01:33:55,32.67,-17.1,69.8,83,20,5.82
64,Mar Del Plata,AR,2020-08-19 01:33:34,-38.0,-57.56,42.01,70,52,9.17
65,Vardo,NO,2020-08-19 01:33:56,70.37,31.11,51.66,87,100,9.35
66,Esperance,AU,2020-08-19 01:33:56,-33.87,121.9,50.0,100,75,12.75
67,Punta Arenas,CL,2020-08-19 01:33:30,-53.15,-70.92,32.0,87,78,9.17
68,Bollnas,SE,2020-08-19 01:33:56,61.35,16.39,55.99,98,62,3.0
69,Kemijarvi,FI,2020-08-19 01:33:56,66.71,27.43,45.81,86,93,4.34
70,Suntar,RU,2020-08-19 01:33:56,62.14,117.63,65.26,43,100,4.14
71,Oktyabrskiy,RU,2020-08-19 01:33:57,54.48,53.47,45.03,90,0,6.96
72,Kingaroy,AU,2020-08-19 01:33:57,-26.53,151.83,75.0,23,0,18.34
73,Sampit,ID,2020-08-19 01:33:57,-2.53,112.95,83.93,64,57,5.3
74,Praya,CV,2020-08-19 01:33:57,14.92,-23.51,80.6,88,40,2.24
75,Talnakh,RU,2020-08-19 01:33:58,69.49,88.4,64.4,48,5,6.71
76,Muisne,EC,2020-08-19 01:33:58,0.6,-80.03,72.68,86,100,11.03
77,Vaini,TO,2020-08-19 01:33:58,-21.2,-175.2,73.4,100,90,14.99
78,Lagoa,PT,2020-08-19 01:33:58,39.05,-27.98,70.45,77,31,21.59
79,Aparecida Do Taboado,BR,2020-08-19 01:33:59,-20.09,-51.09,77.65,36,1,7.34
80,Hithadhoo,MV,2020-08-19 01:33:59,-0.6,73.08,83.89,73,9,10.36
81,Isangel,VU,2020-08-19 01:33:59,-19.55,169.27,78.8,65,20,8.05
82,Muli,MV,2020-08-19 01:33:59,2.92,73.57,82.15,67,64,4.9
83,Nome,US,2020-08-19 01:33:59,64.5,-165.41,71.01,63,1,5.82
84,San Cristobal,VE,2020-08-19 01:33:59,7.77,-72.22,67.78,92,97,1.48
85,Butaritari,KI,2020-08-19 01:33:59,3.07,172.79,83.79,70,0,9.73
86,Hasaki,JP,2020-08-19 01:34:00,35.73,140.83,90.0,66,75,3.36
87,Udarnyy,RU,2020-08-19 01:34:00,54.34,42.86,48.43,88,0,3.89
88,Arak,IR,2020-08-19 01:34:00,34.09,49.69,60.44,49,0,3.51
89,Namtsy,RU,2020-08-19 01:34:00,62.72,129.67,60.8,36,22,6.71
90,Geraldton,AU,2020-08-19 01:34:00,-28.77,114.6,55.4,82,44,8.05
